,Tweet,cleanedTweets
0,I spoke with Prime Minister of Greece @kmitsotakis by phone. I thanked for the warm wishes for the Ukrainian people and for the defense support in the current year. I was assured of the same level of support in the next one. We've outlined joint activities.,I spoke with Prime Minister of Greece  by phone. I thanked for the warm wishes for the Ukrainian people and for the defense support in the current year. I was assured of the same level of support in the next one. We've outlined joint activities.
1,"Congratulations to PM @netanyahu on the formation of the new Government. I wish success on the way to the welfare &amp; security of Israel. I confirm 🇺🇦's readiness for close cooperation to strengthen our ties &amp; confront common challenges, achieve prosperity &amp; victory over evil.","Congratulations to PM  on the formation of the new Government. I wish success on the way to the welfare &amp; security of Israel. I confirm 🇺🇦's readiness for close cooperation to strengthen our ties &amp; confront common challenges, achieve prosperity &amp; victory over evil."
2,Thanked @GiorgiaMeloni for solidarity and comprehensive support for 🇺🇦. Commended 🇮🇹 government's allocation of additional €10 million in aid. Mrs. Meloni informed that the issue of providing air defense systems to protect 🇺🇦 skies is being considered. We discussed #PeaceFormula,Thanked  for solidarity and comprehensive support for 🇺🇦. Commended 🇮🇹 government's allocation of additional €10 million in aid. Mrs. Meloni informed that the issue of providing air defense systems to protect 🇺🇦 skies is being considered. We discussed PeaceFormula
3,I had a phone call with @PMOIndia Narendra Modi and wished a successful #G20 presidency. It was on this platform that I announced the peace formula and now I count on India's participation in its implementation. I also thanked for humanitarian aid and support in the UN.,I had a phone call with  Narendra Modi and wished a successful G20 presidency. It was on this platform that I announced the peace formula and now I count on India's participation in its implementation. I also thanked for humanitarian aid and support in the UN.
4,"This is not sensitive content – it's the real life of 🇺🇦.
Kherson. On the eve of Christmas, in the central part of the city. It's terror, it's killing for the sake of intimidation and pleasure.
The world must see what absolute evil we are fighting against. #russiaisateroriststate https://t.co/ll1KAjHRom","This is not sensitive content – it's the real life of 🇺🇦. Kherson. On the eve of Christmas, in the central part of the city. It's terror, it's killing for the sake of intimidation and pleasure. The world must see what absolute evil we are fighting against. russiaisateroriststate "
5,"I’m grateful to @RishiSunak and the entire British people! We feel your support. We feel the light and the warmth of your hearts. Light always prevails over darkness. Thus together, we will defeat evil and restore peace in Ukraine, Europe, and the world. Merry Christmas, friends!","I’m grateful to  and the entire British people! We feel your support. We feel the light and the warmth of your hearts. Light always prevails over darkness. Thus together, we will defeat evil and restore peace in Ukraine, Europe, and the world. Merry Christmas, friends!"
6,"Thank you @POTUS. It's an honor for me to visit 🇺🇸, to address the 🇺🇸 people and Congress, to meet with the leader of the country that helps us stand. And win! This visit showed our countries stand together on the side of good, democracy and justice. Creating the future together!","Thank you . It's an honor for me to visit 🇺🇸, to address the 🇺🇸 people and Congress, to meet with the leader of the country that helps us stand. And win! This visit showed our countries stand together on the side of good, democracy and justice. Creating the future together!"
7,"Thank you 🇺🇸Congress, @SpeakerPelosi,@GOPLeader, @LeaderMcConnell,@SenSchumer, @SenatorLeahy, @rosadelauro for additional $45 bln aid to 🇺🇦,&amp; for unwavering bipartisan support 🇺🇦 in our fight for freedom. It’s crucial that 🇺🇸people’re side by side w/ 🇺🇦people in this struggle.","Thank you 🇺🇸Congress, ,, ,, ,  for additional $45 bln aid to 🇺🇦,&amp; for unwavering bipartisan support 🇺🇦 in our fight for freedom. It’s crucial that 🇺🇸people’re side by side w/ 🇺🇦people in this struggle."
8,"Had a conversation with 🇳🇱 PM @MinPres. Thanked for the decision to allocate €2.5 billion to help 🇺🇦 in the fight against the aggressor. We appreciate 🇳🇱 support! We keep working together to increase defense capability, energy stability &amp; restore critical infrastructure.","Had a conversation with 🇳🇱 PM . Thanked for the decision to allocate €2.5 billion to help 🇺🇦 in the fight against the aggressor. We appreciate 🇳🇱 support! We keep working together to increase defense capability, energy stability &amp; restore critical infrastructure."
9,"I thank @POTUS for the warm welcome and I deeply appreciate all the support of the U.S. and the American people. I am confident that together we will be able to secure a better, prosperous and free future for both of our nations. Ukraine’s victory will also be America’s victory. https://t.co/OhclRtwIJy","I thank  for the warm welcome and I deeply appreciate all the support of the U.S. and the American people. I am confident that together we will be able to secure a better, prosperous and free future for both of our nations. Ukraine’s victory will also be America’s victory. "
10,"On my way to the US to strengthen resilience and defense capabilities of 🇺🇦. In particular, @POTUS and I will discuss cooperation between 🇺🇦 and 🇺🇸. I will also have a speech at the Congress and a number of bilateral meetings.","On my way to the US to strengthen resilience and defense capabilities of 🇺🇦. In particular,  and I will discuss cooperation between 🇺🇦 and 🇺🇸. I will also have a speech at the Congress and a number of bilateral meetings."
11,I congratulate a good colleague of mine Mette Frederiksen @Statsmin on the successful formation of the new Cabinet and appointment as the Prime Minister of Denmark. I look forward to our further fruitful cooperation aimed at achieving peace in Europe.,I congratulate a good colleague of mine Mette Frederiksen  on the successful formation of the new Cabinet and appointment as the Prime Minister of Denmark. I look forward to our further fruitful cooperation aimed at achieving peace in Europe.
12,"I commend the @Europarl_EN recognition of the Holodomor as genocide of the 🇺🇦 people. Grateful to the @EP_President, MEPs &amp; all of united Europe for this important &amp; fair decision. I hope for further recognition of the Holodomor as genocide by all civilized countries of the world","I commend the  recognition of the Holodomor as genocide of the 🇺🇦 people. Grateful to the , MEPs &amp; all of united Europe for this important &amp; fair decision. I hope for further recognition of the Holodomor as genocide by all civilized countries of the world"
13,"An important mission of @ZelenskaUA foundation @Zelenska_FND is to restore hospitals destroyed and looted during the Russian occupation. The help of our friends and all those who care, who understand the feat of 🇺🇦 doctors, will allow them to save thousands of lives again.","An important mission of  foundation  is to restore hospitals destroyed and looted during the Russian occupation. The help of our friends and all those who care, who understand the feat of 🇺🇦 doctors, will allow them to save thousands of lives again."
14,Talking with @iocmedia President Bach I noted the support for 🇺🇦 athletes. Urged to contribute to rebuilding 🇺🇦 sports objects destroyed by RF. Upset with the intention to return RF's &amp; 🇧🇾's athletes to world competitions. Аs long as RF destroys peaceful life – only isolation.,Talking with  President Bach I noted the support for 🇺🇦 athletes. Urged to contribute to rebuilding 🇺🇦 sports objects destroyed by RF. Upset with the intention to return RF's &amp; 🇧🇾's athletes to world competitions. Аs long as RF destroys peaceful life – only isolation.
15,I thanked @antonioguterres for participating in 🇺🇦 Support Conference in Paris. We discussed our Peace Formula and #GlobalPeaceFormulaSummit. I urged to send 🇺🇳 experts to 🇺🇦 energy facilities ASAP. We will develop the Black Sea Grain Initiative and the #GrainFromUkraine program.,I thanked  for participating in 🇺🇦 Support Conference in Paris. We discussed our Peace Formula and GlobalPeaceFormulaSummit. I urged to send 🇺🇳 experts to 🇺🇦 energy facilities ASAP. We will develop the Black Sea Grain Initiative and the GrainFromUkraine program.
16,"In a conversation with @CharlesMichel, I stressed the need for quick approval of the 9th package of sanctions. Informed about progress in the implementation of #EC recommendations. We coordinated further steps on 🇺🇦's movement towards membership in 🇪🇺. 2/2","In a conversation with , I stressed the need for quick approval of the 9th package of sanctions. Informed about progress in the implementation of EC recommendations. We coordinated further steps on 🇺🇦's movement towards membership in 🇪🇺. 2/2"
17,Thanked @CharlesMichel for the invitation to speak at #EUCO meeting on December 15. Discussed the role of the EU &amp; its members in implementing the Peace Formula. Grateful for €2 billion increase of the European Peace Facility &amp; unlocking a new €18 billion financial program. 1/2,Thanked  for the invitation to speak at EUCO meeting on December 15. Discussed the role of the EU &amp; its members in implementing the Peace Formula. Grateful for €2 billion increase of the European Peace Facility &amp; unlocking a new €18 billion financial program. 1/2
18,"A fruitful conversation with @POTUS. I expressed gratitude for another security package. We discussed further defense cooperation, protection and maintenance of our energy sector. Coordinated positions on the eve of the #G7 online summit. America's leadership remains steadfast!","A fruitful conversation with . I expressed gratitude for another security package. We discussed further defense cooperation, protection and maintenance of our energy sector. Coordinated positions on the eve of the G7 online summit. America's leadership remains steadfast!"
19,Continued dialogue with 🇹🇷 President @RTErdogan. Thanked for sheltering 🇺🇦 children &amp; providing hundreds of generators for our cities. Noted Türkiye's support for the Ukrainian #GrainfromUkraine initiative. Also discussed further work &amp; possible expansion of the grain corridor.,Continued dialogue with 🇹🇷 President . Thanked for sheltering 🇺🇦 children &amp; providing hundreds of generators for our cities. Noted Türkiye's support for the Ukrainian GrainfromUkraine initiative. Also discussed further work &amp; possible expansion of the grain corridor.
20,"Had a phone call with 🇫🇷 President @EmmanuelMacron. Synchronized positions on the eve of #G7 online summit and 🇺🇦 support conference in Paris. Discussed the implementation of our ten-step peace formula, cooperation on defense and energy stability of 🇺🇦.","Had a phone call with 🇫🇷 President . Synchronized positions on the eve of G7 online summit and 🇺🇦 support conference in Paris. Discussed the implementation of our ten-step peace formula, cooperation on defense and energy stability of 🇺🇦."
21,"We are grateful to our Norwegian partners for providing NOK 1 billion – that's $100 million – for the restoration of our infrastructure after the Russian strikes, primarily the power supply system. I am sure that with such friends we will return power to every 🇺🇦 home.","We are grateful to our Norwegian partners for providing NOK 1 billion – that's $100 million – for the restoration of our infrastructure after the Russian strikes, primarily the power supply system. I am sure that with such friends we will return power to every 🇺🇦 home."
22,Thankful to @POTUS for another security aid package. And for unwavering leading support 🇺🇦 in our fight against Russian aggression. No missile terror will stop our fight for freedom! It is important that the people of 🇺🇸 are side by side with the people of 🇺🇦 in this struggle.,Thankful to  for another security aid package. And for unwavering leading support 🇺🇦 in our fight against Russian aggression. No missile terror will stop our fight for freedom! It is important that the people of 🇺🇸 are side by side with the people of 🇺🇦 in this struggle.
23,"I maintain a regular dialogue with 🇬🇧 Prime Minister @RishiSunak. Today we discussed the implementation of our ""peace formula"", cooperation on defense capabilities and energy stability of Ukraine. We also synchronized positions before #G7 online summit.","I maintain a regular dialogue with 🇬🇧 Prime Minister . Today we discussed the implementation of our ""peace formula"", cooperation on defense capabilities and energy stability of Ukraine. We also synchronized positions before G7 online summit."
24,"On November 15, we launched humanitarian program #GrainFromUkraine to help people who are most vulnerable to acute food crisis. Today, the first vessel arrived to Doraleh Port carrying a humanitarian cargo of 25 thousand tons of wheat for Ethiopia. We ship food. We ship hope. https://t.co/LO8lcp5z7E","On November 15, we launched humanitarian program GrainFromUkraine to help people who are most vulnerable to acute food crisis. Today, the first vessel arrived to Doraleh Port carrying a humanitarian cargo of 25 thousand tons of wheat for Ethiopia. We ship food. We ship hope. "
25,"Had a phone call with #AU Chairperson, 🇸🇳 President @Macky_Sall. Summed up our #ISFS summit backed by the African Union. Discussed further implementation of the #GrainfromUkraine initiative &amp; possible participation of African countries in the implementation of the Peace Formula.","Had a phone call with AU Chairperson, 🇸🇳 President . Summed up our ISFS summit backed by the African Union. Discussed further implementation of the GrainfromUkraine initiative &amp; possible participation of African countries in the implementation of the Peace Formula."
26,I had a phone call with 🇩🇪 Federal Chancellor @OlafScholz. I am grateful for supporting the #GrainfromUkraine initiative. We also discussed the implementation of the Ukrainian Peace Formula and cooperation to protect Ukraine from Russian missile terror.,I had a phone call with 🇩🇪 Federal Chancellor . I am grateful for supporting the GrainfromUkraine initiative. We also discussed the implementation of the Ukrainian Peace Formula and cooperation to protect Ukraine from Russian missile terror.
27,Discussed sustainable defense cooperation with 🇳🇱 Prime Minister @MinPres. Glad to hear that support for Ukraine next year will only increase. We also discussed the implementation of my peace formula and the transition of 🇺🇦 to energy-saving technologies.,Discussed sustainable defense cooperation with 🇳🇱 Prime Minister . Glad to hear that support for Ukraine next year will only increase. We also discussed the implementation of my peace formula and the transition of 🇺🇦 to energy-saving technologies.
